Timestamp,Temperature,Humidity,Pressure,Rain Sensor,Light Sensor,Wind Speed,Wind Bearing
2025-02-11 09:53:17,18.86,73.5,1025.14,3328,1408,47.0,292.0
2025-02-11 09:53:19,18.86,73.42,1025.15,3345,1376,47.0,292.0
2025-02-11 09:53:21,18.87,73.37,1025.16,3329,1424,47.0,292.0
2025-02-11 09:53:23,18.88,73.38,1025.15,3329,1409,47.0,292.0
2025-02-11 09:53:25,18.91,73.5,1025.15,3329,1361,47.0,292.0
2025-02-11 09:53:27,18.91,73.51,1025.15,3329,1393,47.0,291.0
2025-02-11 09:53:29,18.92,73.48,1025.16,3329,1392,47.0,291.0
2025-02-11 09:53:31,18.93,73.42,1025.18,3329,1393,47.0,292.0
2025-02-11 09:53:33,18.93,73.4,1025.15,3329,1377,47.0,292.0
2025-02-11 09:53:35,18.93,73.39,1025.16,3328,1217,47.0,292.0
2025-02-11 09:53:37,18.95,73.42,1025.15,3328,1264,47.0,292.0
2025-02-11 09:53:39,18.95,73.41,1025.12,3329,1217,47.0,292.0
2025-02-11 09:53:41,18.95,73.38,1025.13,3329,1185,47.0,291.0
2025-02-11 09:53:43,18.96,73.34,1025.13,3328,1168,47.0,292.0
2025-02-11 09:53:45,18.96,73.3,1025.16,3328,1185,47.0,291.0
2025-02-11 09:53:47,18.97,73.28,1025.16,3344,1088,47.0,292.0
2025-02-11 09:53:50,18.96,73.24,1025.14,3329,1393,47.0,292.0
2025-02-11 09:53:52,18.97,73.19,1025.17,3329,1265,47.0,292.0
2025-02-11 09:53:54,18.99,73.25,1025.15,3344,1313,47.0,292.0
2025-02-11 09:53:56,19.02,73.48,1025.14,3329,1072,47.0,291.0
2025-02-11 09:53:58,19.11,73.72,1025.16,3329,1185,47.0,292.0
2025-02-11 09:54:00,19.12,73.95,1025.18,3328,1168,47.0,292.0
2025-02-11 09:54:02,19.13,73.96,1025.14,3328,1232,47.0,291.0
2025-02-11 09:54:04,19.12,73.78,1025.17,3329,1216,47.0,292.0
2025-02-11 09:54:06,19.12,73.62,1025.17,3328,1264,47.0,292.0
2025-02-11 09:54:08,19.12,73.59,1025.16,3328,1281,47.0,292.0
2025-02-11 09:54:10,19.15,73.66,1025.15,3328,1264,47.0,292.0
2025-02-11 09:54:12,19.14,73.68,1025.14,3329,1264,47.0,292.0
2025-02-11 09:54:14,19.15,73.74,1025.19,3328,1297,47.0,291.0
2025-02-11 09:54:16,19.15,73.85,1025.16,3329,1249,47.0,292.0
2025-02-11 09:54:18,19.15,73.78,1025.17,3328,1216,47.0,292.0
2025-02-11 09:54:20,19.11,73.56,1025.17,3328,1249,47.0,291.0
2025-02-11 09:54:22,19.1,73.46,1025.19,3328,1265,47.0,292.0
2025-02-11 09:54:24,19.08,73.4,1025.17,3345,1249,47.0,292.0
2025-02-11 09:54:26,19.08,73.34,1025.15,3329,1233,47.0,292.0
2025-02-11 09:54:28,19.12,73.56,1025.17,3296,1168,47.0,292.0
2025-02-11 09:54:30,19.11,73.59,1025.18,3345,1216,47.0,292.0
2025-02-11 09:54:32,19.13,73.57,1025.17,3329,960,47.0,292.0
2025-02-11 09:54:34,19.12,73.58,1025.12,3329,945,47.0,292.0
2025-02-11 09:54:36,19.14,73.63,1025.16,3328,977,47.0,292.0
2025-02-11 09:54:38,19.16,73.75,1025.14,3328,1105,47.0,292.0
2025-02-11 09:54:40,19.14,73.59,1025.14,3329,1056,47.0,292.0
2025-02-11 09:54:42,19.15,73.58,1025.13,3345,1056,47.0,292.0
2025-02-11 09:54:44,19.15,73.52,1025.16,3329,1088,47.0,292.0
2025-02-11 09:54:46,19.17,73.47,1025.11,3329,1089,47.0,292.0
2025-02-11 09:54:48,19.17,73.43,1025.15,3328,1057,47.0,292.0
2025-02-11 09:54:50,19.16,73.37,1025.15,3329,1184,47.0,292.0
2025-02-11 09:54:52,19.16,73.33,1025.14,3328,1248,47.0,292.0
2025-02-11 09:54:54,19.16,73.33,1025.15,3329,1233,47.0,292.0
2025-02-11 09:54:56,19.18,73.48,1025.16,3328,1233,47.0,292.0
2025-02-11 09:54:58,19.19,73.49,1025.12,3328,1280,47.0,291.0
2025-02-11 09:55:04,19.2,73.46,1025.14,3329,1248,47.0,292.0
2025-02-11 09:55:07,19.21,73.51,1025.14,3329,1233,47.0,291.0
2025-02-11 09:55:09,19.21,73.43,1025.16,3328,1264,47.0,292.0
2025-02-11 09:55:11,19.21,73.32,1025.15,3328,1265,47.0,291.0
2025-02-11 09:55:13,19.21,73.26,1025.16,3344,1249,47.0,292.0
2025-02-11 09:55:15,19.21,73.21,1025.17,3328,1280,47.0,292.0
2025-02-11 09:55:49,19.28,73.4,1025.13,3328,897,47.0,292.0
2025-02-11 09:55:51,19.29,73.35,1025.19,3329,832,47.0,291.0
2025-02-11 09:55:53,19.29,73.28,1025.16,3328,849,47.0,291.0
2025-02-11 09:55:55,19.29,73.18,1025.15,3328,769,47.0,292.0
2025-02-11 09:55:57,19.29,73.12,1025.14,3344,769,47.0,292.0
2025-02-11 09:55:59,19.28,73.04,1025.17,3329,769,47.0,292.0
2025-02-11 09:56:01,19.26,72.94,1025.13,3328,800,47.0,292.0
2025-02-11 09:56:03,19.28,72.93,1025.15,3328,832,47.0,292.0
2025-02-11 09:56:05,19.29,72.93,1025.17,3329,833,47.0,292.0
2025-02-11 09:56:07,19.29,72.89,1025.17,3328,785,47.0,291.0
2025-02-11 09:56:09,19.3,72.87,1025.14,3328,817,47.0,292.0
2025-02-11 09:56:11,19.3,72.86,1025.17,3297,833,47.0,292.0
2025-02-11 09:56:13,19.3,72.82,1025.15,3328,817,47.0,291.0
